2023-04-29 09:40:57 startup archives install
2023-04-29 09:40:57 install dpkg:amd64 <none> 1.20.12
2023-04-29 09:40:57 status half-installed dpkg:amd64 1.20.12
2023-04-29 09:40:57 status unpacked dpkg:amd64 1.20.12
2023-04-29 09:40:57 configure dpkg:amd64 1.20.12 1.20.12
2023-04-29 09:40:57 status half-configured dpkg:amd64 1.20.12
2023-04-29 09:40:57 status installed dpkg:amd64 1.20.12
2023-04-29 09:40:57 startup archives install
2023-04-29 09:40:57 install base-passwd:amd64 <none> 3.5.51
2023-04-29 09:40:57 status half-installed base-passwd:amd64 3.5.51
2023-04-29 09:40:57 status unpacked base-passwd:amd64 3.5.51
2023-04-29 09:40:57 configure base-passwd:amd64 3.5.51 3.5.51
2023-04-29 09:40:57 status half-configured base-passwd:amd64 3.5.51
2023-04-29 09:40:57 status installed base-passwd:amd64 3.5.51
2023-04-29 09:40:57 startup archives install
2023-04-29 09:40:57 install cdebootstrap-helper-rc.d:all <none> 1
2023-04-29 09:40:57 status half-installed cdebootstrap-helper-rc.d:all 1
2023-04-29 09:40:57 status unpacked cdebootstrap-helper-rc.d:all 1
2023-04-29 09:40:57 configure cdebootstrap-helper-rc.d:all 1 1
2023-04-29 09:40:57 status half-configured cdebootstrap-helper-rc.d:all 1
2023-04-29 09:40:57 status installed cdebootstrap-helper-rc.d:all 1
2023-04-29 09:40:57 startup archives install
2023-04-29 09:40:57 install cdebootstrap-helper-makedev:all <none> 1
2023-04-29 09:40:57 status half-installed cdebootstrap-helper-makedev:all 1
2023-04-29 09:40:57 status unpacked cdebootstrap-helper-makedev:all 1
2023-04-29 09:40:57 configure cdebootstrap-helper-makedev:all 1 1
2023-04-29 09:40:57 status half-configured cdebootstrap-helper-makedev:all 1
2023-04-29 09:40:58 status installed cdebootstrap-helper-makedev:all 1
2023-04-29 09:40:58 startup archives unpack
2023-04-29 09:40:58 install gcc-10-base:amd64 <none> 10.2.1-6
2023-04-29 09:40:58 status half-installed gcc-10-base:amd64 10.2.1-6
2023-04-29 09:40:58 status unpacked gcc-10-base:amd64 10.2.1-6
2023-04-29 09:40:58 install libgcc-s1:amd64 <none> 10.2.1-6
2023-04-29 09:40:58 status half-installed libgcc-s1:amd64 10.2.1-6
2023-04-29 09:40:58 status unpacked libgcc-s1:amd64 10.2.1-6
2023-04-29 09:40:58 install libcrypt1:amd64 <none> 1:4.4.18-4
2023-04-29 09:40:58 status half-installed libcrypt1:amd64 1:4.4.18-4
2023-04-29 09:40:58 status unpacked libcrypt1:amd64 1:4.4.18-4
2023-04-29 09:40:58 install libc6:amd64 <none> 2.31-13+deb11u5
2023-04-29 09:40:58 status half-installed libc6:amd64 2.31-13+deb11u5
2023-04-29 09:40:58 status unpacked libc6:amd64 2.31-13+deb11u5
2023-04-29 09:40:58 install libacl1:amd64 <none> 2.2.53-10
2023-04-29 09:40:58 status half-installed libacl1:amd64 2.2.53-10
2023-04-29 09:40:58 status unpacked libacl1:amd64 2.2.53-10
2023-04-29 09:40:58 install libpcre2-8-0:amd64 <none> 10.36-2+deb11u1
2023-04-29 09:40:58 status half-installed libpcre2-8-0:amd64 10.36-2+deb11u1
2023-04-29 09:40:58 status unpacked libpcre2-8-0:amd64 10.36-2+deb11u1
2023-04-29 09:40:58 install libselinux1:amd64 <none> 3.1-3
2023-04-29 09:40:58 status half-installed libselinux1:amd64 3.1-3
2023-04-29 09:40:58 status unpacked libselinux1:amd64 3.1-3
2023-04-29 09:40:58 install tar:amd64 <none> 1.34+dfsg-1
2023-04-29 09:40:58 status half-installed tar:amd64 1.34+dfsg-1
2023-04-29 09:40:58 status unpacked tar:amd64 1.34+dfsg-1
2023-04-29 09:40:58 install libbz2-1.0:amd64 <none> 1.0.8-4
2023-04-29 09:40:58 status half-installed libbz2-1.0:amd64 1.0.8-4
2023-04-29 09:40:58 status unpacked libbz2-1.0:amd64 1.0.8-4
2023-04-29 09:40:59 install liblzma5:amd64 <none> 5.2.5-2.1~deb11u1
2023-04-29 09:40:59 status half-installed liblzma5:amd64 5.2.5-2.1~deb11u1
2023-04-29 09:40:59 status unpacked liblzma5:amd64 5.2.5-2.1~deb11u1
2023-04-29 09:40:59 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2+deb11u2
